station_code,year,departement_code,total_passengers_over_the_year,simple_assistance,ramp_assistance,wheelchair_assistance,ramp_and_wheelchair_assistance,total_assistance,clusters,cluster
87757526,2021,83,1090001,1294,513,1559,12,3378,0,light pink
87757625,2021,06,3217787,2519,783,2467,33,5802,0,light pink
87757666,2021,06,609298,1,0,0,0,1,0,light pink
87757674,2021,06,1865911,1091,369,1225,15,2700,0,light pink
87757724,2021,06,267345,0,0,1,0,1,0,light pink
87761007,2021,26,1783419,1349,887,713,17,2966,0,light pink
87761163,2021,26,393281,43,1,2,0,46,0,light pink
87761650,2021,26,341640,46,126,4,0,176,0,light pink
87761718,2021,38,450834,38,98,7,0,143,0,light pink
87762906,2021,69,1404193,637,593,519,7,1756,0,light pink
87763003,2021,05,200559,155,43,31,2,231,0,light pink
87763029,2021,26,2187316,4947,1621,1871,32,8471,0,light pink
87763300,2021,05,64411,82,16,22,0,120,0,light pink
87763466,2021,05,72093,27,22,6,1,56,0,light pink
87763508,2021,05,49257,1,1,0,0,2,0,light pink
87763557,2021,05,35493,1,0,1,0,2,0,light pink
87763607,2021,05,112464,80,11,20,3,114,0,light pink
87764001,2021,26,743493,726,571,270,3,1570,0,light pink
87764308,2021,26,227218,0,0,1,0,1,0,light pink
87765008,2021,84,2067055,792,503,201,11,1507,0,light pink
87765107,2021,84,330499,208,110,95,4,417,0,light pink
87765735,2021,84,231161,0,0,3,0,3,0,light pink
87773002,2021,34,5850564,5347,2980,2374,32,10733,0,light pink
87773200,2021,34,1016013,1094,506,464,8,2072,0,light pink
87775007,2021,30,3376038,4488,1420,1465,28,7401,0,light pink
87775288,2021,30,397673,388,175,69,2,634,0,light pink
87775866,2021,30,107133,38,59,14,1,112,0,light pink
87781005,2021,34,1192730,1601,749,735,14,3099,0,light pink
87781088,2021,11,83945,2,0,0,0,2,0,light pink
87781104,2021,11,1569858,2808,801,1030,15,4654,0,light pink
87781278,2021,34,561160,950,252,383,14,1599,0,light pink
87781609,2021,34,23592,72,36,33,2,143,0,light pink
87783001,2021,12,30413,17,4,5,0,26,0,light pink
87783282,2021,48,9613,18,27,0,0,45,0,light pink
